Service,Region,Province,Source,Hospital,Type,Delivered,Postponed,Delivered in 2019,Rate change,Notes
Medical exams,Puglia,Bari,Asl Bari,Ospedale Triggiano,Total,1719,778,:,-31.15738887,The figure includes 361 instrumental exams performed and 273 returned to the Triggiano clinic
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Bari Cto,Total,472,2587,:,-84.57012095,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Modugno,Total,373,82,:,-18.02197802,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Rutigliano,Total,358,187,:,-34.31192661,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Mola Di Bari,Total,1509,289,:,-16.07341491,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Adelfia,Total,499,177,:,-26.18343195,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Bari - Santo Spirito,Total,456,152,:,-25.0,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio San Paolo - Casa Salute di Bari,Total,182,15,:,-7.614213198,
Medical exams,Puglia,Bari,Asl Bari,Neuropsichiatria infantile,Total,3,0,:,0.0,The figure refers to all infant neuropsychiatries active in the territory of the ASL
Medical exams,Puglia,Bari,Asl Bari,"Ospedale della Murgia ""Fabio Perinei""",Total,2433,1667,:,-40.65853659,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Altamura,Total,175,269,:,-60.58558559,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Toritto,Total,10,3,:,-23.07692308,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Gravina In Puglia,Total,192,260,:,-57.52212389,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Poggiorsini,Total,18,3,:,-14.28571429,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Cassano delle Murge,Total,83,190,:,-69.5970696,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Sannicandro,Total,78,69,:,-46.93877551,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Santeramo,Total,1094,746,:,-40.54347826,
Medical exams,Puglia,Bari,Asl Bari,Pta Grumo Appula,Total,646,311,:,-32.49738767,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Noicattaro,Total,49,28,:,-36.36363636,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Noci,Total,152,57,:,-27.27272727,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Bari Via Fani,Total,1776,1015,:,-36.36689359,
Medical exams,Emilia Romagna,Bologna,Istituto ortopedico Rizzoli,Istituto ortopedico Rizzoli,Total,2527,1269,:,-33.42992624,"As of October 31st, the postponed exams were carried out or reprogrammed"
Medical exams,Lazio,Roma,Inmi Lazzaro Spallanzani,Inmi Lazzaro Spallanzani,Total,557,1060,:,-65.55349412,
Medical exams,Piedmont,Verbania,Asl Vco,Asl Vco,Total,37015,30282,:,-44.99754818,
Medical exams,Sardinia,Cagliari,Arnas Brotzu,Ospedale oncologico Armando Businco,Total,55447,1481,:,-2.601531759,
Medical exams,Sardinia,Cagliari,Arnas Brotzu,Ospedale pediatrico Antonio Cao,Total,6894,434,:,-5.922489083,
Medical exams,Sardinia,Cagliari,Arnas Brotzu,Ospedale San Michele,Total,50100,2658,:,-5.038098487,
Medical exams,Sardinia,Sassari,AOU Sassari,AOU Sassari,Total,8453,56,:,-0.6581266894,
Medical exams,Sicily,Agrigento,Asp Agrigento,Asp Agrigento,Total,5417,953,:,-14.96075353,
Medical exams,Emilia Romagna,Parma,Ausl Parma,Ausl Parma,Total,8943,44704,:,-83.32991593,
Medical exams,Campania,Salerno,Ausl Salerno,Psaut di Agropoli,Total,1963,42,:,-2.094763092,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Andrea Tortora"" di Pagani",Total,6809,1249,:,-15.5001241,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Santa Maria della Speranza"" di Battipaglia",Total,14196,676,:,-4.545454545,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Dell'Immacolata"" di Sapri",Total,5378,1171,:,-17.88059246,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Luigi Curto"" di Polla",Total,11723,1463,:,-11.09510086,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Maria SS.Addolorata"" di Eboli",Total,3042,1036,:,-25.4046101,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Mauro Scarlato"" di Scafati",Total,4565,1113,:,-19.60197253,
Medical exams,Campania,Salerno,Ausl Salerno,Ospedale di Roccadaspide,Total,4005,400,:,-9.080590238,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""San Francesco d'Assisi"" di Oliveto Citra",Total,5843,561,:,-8.760149906,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""San Luca"" di Vallo della Lucania",Total,3148,1394,:,-30.69132541,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Martiri di Villa Malta"" di Sarno",Total,2954,293,:,-9.023714198,
Medical exams,Campania,Salerno,Ausl Salerno,"Ospedale ""Umberto I"" di Nocera Inferiore",Total,10749,643,:,-5.644311798,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 60,Total,412,189,:,-31.44758735,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 61,Total,828,803,:,-49.23359902,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 62,Total,253,118,:,-31.80592992,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 63,Total,811,697,:,-46.22015915,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 64,Total,924,882,:,-48.8372093,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 65,Total,1893,394,:,-17.22780936,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 66,Total,5206,2298,:,-30.62366738,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 67,Total,930,543,:,-36.86354379,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 68,Total,1124,742,:,-39.7642015,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 69,Total,422,539,:,-56.08740895,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 70,Total,1159,1841,:,-61.36666667,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 71,Total,352,431,:,-55.04469987,
Medical exams,Campania,Salerno,Ausl Salerno,Poliambulatori DSB 72,Total,443,593,:,-57.23938224,
Medical exams,Campania,Salerno,Ausl Salerno,Casa circondariale di Salerno,Total,16,0,:,0.0,
Medical exams,Campania,Salerno,Aou San Giovanni di Dio Ruggi d'Aragona,Ospedale San Giovanni di Dio Ruggi d'Aragona,Total,17880,4235,:,-19.14989826,The health local district has not communicated data that would allow to distinguish between specialist visits and instrumental examinations. The data includes both cases
Medical exams,Tuscany,Siena,AOU Senese,AOU Senese,Total,8469,22045,:,-72.24552664,
Medical exams,Calabria,Cosenza,Asp Cosenza,Poliambulatorio di Montalto,Total,28,571,:,-95.32554257,
Medical exams,Calabria,Cosenza,Asp Cosenza,Poliambulatorio di Bisignano,Total,77,67,:,-46.52777778,
Medical exams,Calabria,Cosenza,Asp Cosenza,Poliambulatorio di Acri,Total,22,50,:,-69.44444444,
Medical exams,Liguria,Genova,Ospedale pediatrico Gaslini,Ospedale pediatrico Gaslini,Total,1191,2002,:,-62.6996555,
Medical exams,Liguria,Genova,Ospedale Galliera,Ospedale Galliera,Total,6406,1913,:,-22.99555235,
Medical exams,Emilia Romagna,Modena,Ausl Modena,Ospedale di Carpi,Total,4250,2672,:,-38.60156024,
Medical exams,Emilia Romagna,Modena,Ausl Modena,Ospedale di Mirandola,Total,3396,4397,:,-56.42243039,
Medical exams,Emilia Romagna,Modena,Ausl Modena,Ospedale di Sassuolo,Total,5487,9984,:,-64.53364359,
Medical exams,Emilia Romagna,Modena,Ausl Modena,Ospedale di Pavullo,Total,968,1407,:,-59.24210526,
Medical exams,Emilia Romagna,Modena,Ausl Modena,Ospedale di Vignola,Total,2221,805,:,-26.60277594,
Medical exams,Emilia Romagna,Modena,Ausl Modena,Poliambulatori distrettuali e consultori,Total,7269,9378,:,-56.33447468,
Medical exams,Calabria,Catanzaro,Asp Catanzaro,Distretto di Catanzaro,Total,495,2365,:,-82.69230769,The health local district has worked at full capacity until March 10th. The data refer to the period between 11/04/20 and 04/30/20
Medical exams,Calabria,Catanzaro,Asp Catanzaro,Distretto Lametino,Total,44,1834,:,-97.657082,The health local district has worked at full capacity until March 10th. The data refer to the period between 11/04/20 and 04/30/20
Medical exams,Calabria,Catanzaro,Asp Catanzaro,Distretto Soverato,Total,252,2257,:,-89.95615783,The health local district has worked at full capacity until March 10th. The data refer to the period between 11/04/20 and 04/30/20
Medical exams,Calabria,Catanzaro,Asp Catanzaro,Presidio ospedaliero Giovanni Paolo II di Lamezia Terme,Total,4005,1872,:,-31.85298622,The health local district has worked at full capacity until March 10th. The data refer to the period between 11/04/20 and 04/30/20
Medical exams,Calabria,Catanzaro,Asp Catanzaro,Ospedale civile di Soverato,Total,1080,2354,:,-68.54979616,The health local district has worked at full capacity until March 10th. The data refer to the period between 11/04/20 and 04/30/20
Medical exams,Calabria,Catanzaro,Asp Catanzaro,Presidio ospedaliero Soveria Mannelli,Total,106,138,:,-56.55737705,The health local district has worked at full capacity until March 10th. The data refer to the period between 11/04/20 and 04/30/20
Medical exams,Lombardy,Varese,Asst Sette Laghi,Asst Sette Laghi,Total,19965,21324,:,-51.64571678,
Medical exams,Lombardy,Mantova,Asst Mantova,Asst Mantova,Total,23200,3700,:,-13.75464684,
Medical exams,Campania,Napoli,AORN Santobono Pausilipon di Napoli,AORN Santobono Pausilipon di Napoli,Total,487,2160,:,-81.60181337,
Medical exams,Lombardy,Lecco,Asst Lecco,Asst Lecco,Total,13385,26349,:,-66.31348467,
Medical exams,Lombardy,Milano,Asst Gaetano Pini CTO,Asst Gaetano Pini CTO,Total,4082,3570,:,-46.65446942,
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale Carlo Mira di Casorate Primo,Total,351,646,:,-64.79438315,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale di Mede,Total,357,401,:,-52.90237467,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale Asilo Vittoria di Mortara,Total,286,543,:,-65.50060314,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Poliambulatorio di Pavia,Total,65,171,:,-72.45762712,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale unificato di Broni - Stradella,Total,1046,1397,:,-57.18379042,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale Ss. Annunziata di Varzi,Total,254,344,:,-57.52508361,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale civile di Vigevano,Total,1774,1376,:,-43.68253968,The post-referring figure is estimated
Medical exams,Lombardy,Pavia,Asst Pavia,Ospedale civile di Voghera,Total,1206,1623,:,-57.37009544,The post-referring figure is estimated
Medical exams,Marche,Pesaro,Ao Ospedali riuniti Marche Nord,Ao Ospedali riuniti Marche Nord,Total,5786,8059,:,-58.20873962,
Medical exams,Veneto,Venezia,Azienda ULSS 4 Veneto Orientale,Azienda ULSS 4 Veneto Orientale,Total,7641,12070,:,-61.23484349,The figure refers to the period between March 15th and May 3rd
Medical exams,Liguria,Genova,Asl 4 Liguria,Ospedale di Chiavari,Total,846,1593,:,-65.31365314,
Medical exams,Liguria,Genova,Asl 4 Liguria,Ospedale di Lavagna,Total,1896,2428,:,-56.15171138,
Medical exams,Liguria,Genova,Asl 4 Liguria,Ospedale Nostra Signora di Montallegro di Rapallo,Total,472,1061,:,-69.21069798,
Medical exams,Liguria,Genova,Asl 4 Liguria,Ospedale di Sestri Levante,Total,529,2799,:,-84.10456731,
Medical exams,Campania,Napoli,Asl Napoli 3 Sud,Ospedale di Sorrento,Total,133,48,:,-26.51933702,The data also include those relating to the Hospital of Vico Equense
Medical exams,Campania,Napoli,Asl Napoli 3 Sud,Ospedale Santa Maria della Pietà di Nola,Total,146,112,:,-43.41085271,
Medical exams,Campania,Napoli,Asl Napoli 3 Sud,Ospedale Cavalier Raffaele Apicenna di Pollena Trocchia,Total,55,132,:,-70.58823529,
Medical exams,Lombardy,Sondrio,Asst Valtellina e Alto Lario,Asst Valtellina e Alto Lario,Total,8578,9175,:,-51.68140596,
Medical exams,Lombardy,Varese,Asst Valle Olona,Asst Valle Olona,Total,22164,9394,:,-29.76741238,
Medical exams,Campania,Napoli,AOU Federico II di Napoli,AOU Federico II di Napoli,Total,3630,8007,:,-68.8063934,
Medical exams,Umbria,Perugia,Azienda Usl Umbria 1,Azienda Usl Umbria 1,Total,111698,49209,:,-30.5822618,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale Santa Maria dei Laici di Amelia,Total,283,160,:,-36.11738149,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale di Cascia,Total,4,1,:,-20.0,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale San Giovanni Battista di Foligno,Total,4436,2117,:,-32.30581413,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale di Narni,Total,580,300,:,-34.09090909,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale di Norcia,Total,144,49,:,-25.38860104,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale Santa Maria della Stella di Orvieto,Total,1121,1114,:,-49.84340045,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Ospedale civile San Matteo degli Infermi di Spoleto,Total,2076,968,:,-31.80026281,
Medical exams,Umbria,Terni,Azienda Usl Umbria 2,Domus Gratiae di Terni,Total,57,167,:,-74.55357143,The figure refers to the Narni office
Medical exams,Lombardy,Cremona,Asst Cremona,Asst Cremona,Total,2515,10239,:,-80.28069625,The data is our processing starting from the data provided
Medical exams,Sardinia,Cagliari,AOU Ospedale civile di Cagliari,AOU Ospedale civile di Cagliari,Total,4511,2029,:,-31.02446483,
Medical exams,Emilia Romagna,Ravenna,Ausl Romagna,Ausl Romagna,Total,84069,87452,:,-50.98617662,
Medical exams,Sicily,Catania,Asp Catania,Ospedale S. Marta e S. Venera di Acireale,Total,1812,6103,:,-77.10675932,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Sicily,Catania,Asp Catania,Ospedale Maria SS. Addolorata di Biancavilla,Total,1609,5209,:,-76.40070402,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Sicily,Catania,Asp Catania,Ospedale Castiglione Prestianni di Bronte,Total,1016,2426,:,-70.48227775,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Sicily,Catania,Asp Catania,Ospedale Gravina e S. Pietro di Caltagirone,Total,1242,4489,:,-78.32838946,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Sicily,Catania,Asp Catania,Ospedale Basso Ragusa Mario di Militello,Total,691,1975,:,-74.08102026,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Sicily,Catania,Asp Catania,Ospedale SS. Salvatore di Paternò,Total,1625,3730,:,-69.65452848,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Sicily,Catania,Asp Catania,Ospedale San Giovanni di Dio e Sant'Isidoro di Giarre,Total,123,578,:,-82.45363766,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Campania,Caserta,AORN Caserta,AORN Caserta,Total,744,1280,:,-63.24110672,
